task_id,split,included,exclusion_reason,load_error,notes
07b42fd_1,train,True,,,
07b42fd_2,train,True,,,
07b42fd_3,train,True,,,
229360a_1,train,True,,,
229360a_2,train,True,,,
229360a_3,train,True,,,
22cc237_1,train,True,,,
22cc237_2,train,True,,,
22cc237_3,train,True,,,
27e1026_1,train,True,,,
27e1026_2,train,True,,,
27e1026_3,train,True,,,
287e338_1,train,True,,,
287e338_2,train,True,,,
287e338_3,train,True,,,
29caf6f_1,train,True,,,
29caf6f_2,train,True,,,
29caf6f_3,train,True,,,
2a163ab_1,train,True,,,
2a163ab_2,train,True,,,
2a163ab_3,train,True,,,
302c169_1,train,True,,,
302c169_2,train,True,,,
302c169_3,train,True,,,
34d9492_1,train,True,,,
34d9492_2,train,True,,,
34d9492_3,train,True,,,
3c13f5a_1,train,True,,,
3c13f5a_2,train,True,,,
3c13f5a_3,train,True,,,
60d0b5b_1,train,True,,,
60d0b5b_2,train,True,,,
60d0b5b_3,train,True,,,
6104387_1,train,True,,,
6104387_2,train,True,,,
6104387_3,train,True,,,
692c77d_1,train,True,,,
692c77d_2,train,True,,,
692c77d_3,train,True,,,
6ea6792_1,train,True,,,
6ea6792_2,train,True,,,
6ea6792_3,train,True,,,
76f2c72_1,train,True,,,
76f2c72_2,train,True,,,
76f2c72_3,train,True,,,
771d8fc_1,train,True,,,
771d8fc_2,train,True,,,
771d8fc_3,train,True,,,
7d7fbf6_1,train,True,,,
7d7fbf6_2,train,True,,,
7d7fbf6_3,train,True,,,
82e2fac_1,train,True,,,
82e2fac_2,train,True,,,
82e2fac_3,train,True,,,
aa8502b_1,train,True,,,
aa8502b_2,train,True,,,
aa8502b_3,train,True,,,
afc0fce_1,train,True,,,
afc0fce_2,train,True,,,
afc0fce_3,train,True,,,
b0a8eae_1,train,True,,,
b0a8eae_2,train,True,,,
b0a8eae_3,train,True,,,
b7a9ee9_1,train,True,,,
b7a9ee9_2,train,True,,,
b7a9ee9_3,train,True,,,
c901732_1,train,True,,,
c901732_2,train,True,,,
c901732_3,train,True,,,
ccb4494_1,train,True,,,
ccb4494_2,train,True,,,
ccb4494_3,train,True,,,
ce359b5_1,train,True,,,
ce359b5_2,train,True,,,
ce359b5_3,train,True,,,
cf6abd2_1,train,True,,,
cf6abd2_2,train,True,,,
cf6abd2_3,train,True,,,
d0b1f43_1,train,True,,,
d0b1f43_2,train,True,,,
d0b1f43_3,train,True,,,
e3d6c94_1,train,True,,,
e3d6c94_2,train,True,,,
e3d6c94_3,train,True,,,
e7a10f8_1,train,True,,,
e7a10f8_2,train,True,,,
e7a10f8_3,train,True,,,
e85d92a_1,train,True,,,
e85d92a_2,train,True,,,
e85d92a_3,train,True,,,
0d8a4ee_1,dev,True,,,
0d8a4ee_2,dev,True,,,
0d8a4ee_3,dev,True,,,
23cf851_1,dev,True,,,
23cf851_2,dev,True,,,
23cf851_3,dev,True,,,
37a8675_1,dev,True,,,
37a8675_2,dev,True,,,
37a8675_3,dev,True,,,
383cbac_1,dev,True,,,
383cbac_2,dev,True,,,
383cbac_3,dev,True,,,
396c5a2_1,dev,True,,,
396c5a2_2,dev,True,,,
396c5a2_3,dev,True,,,
3ab5b8b_1,dev,True,,,
3ab5b8b_2,dev,True,,,
3ab5b8b_3,dev,True,,,
4ec8de5_1,dev,True,,,
4ec8de5_2,dev,True,,,
4ec8de5_3,dev,True,,,
4fab96f_1,dev,True,,,
4fab96f_2,dev,True,,,
4fab96f_3,dev,True,,,
50e1ac9_1,dev,True,,,
50e1ac9_2,dev,True,,,
50e1ac9_3,dev,True,,,
530b157_1,dev,True,,,
530b157_2,dev,True,,,
530b157_3,dev,True,,,
57c3486_1,dev,True,,,
57c3486_2,dev,True,,,
57c3486_3,dev,True,,,
6171bbc_1,dev,True,,,
6171bbc_2,dev,True,,,
6171bbc_3,dev,True,,,
68ee2c9_1,dev,True,,,
68ee2c9_2,dev,True,,,
68ee2c9_3,dev,True,,,
6bdbc26_1,dev,True,,,
6bdbc26_2,dev,True,,,
6bdbc26_3,dev,True,,,
6c2c621_1,dev,True,,,
6c2c621_2,dev,True,,,
6c2c621_3,dev,True,,,
b119b1f_1,dev,True,,,
b119b1f_2,dev,True,,,
b119b1f_3,dev,True,,,
d4e9306_1,dev,True,,,
d4e9306_2,dev,True,,,
d4e9306_3,dev,True,,,
df61dc5_1,dev,True,,,
df61dc5_2,dev,True,,,
df61dc5_3,dev,True,,,
fac291d_1,dev,True,,,
fac291d_2,dev,True,,,
fac291d_3,dev,True,,,
