method,budget,num_tasks,success_rate,avg_score,avg_steps,avg_peak_tokens,avg_total_input_tokens,avg_api_calls
high_sensitivity_spans,loose_15,30,0.4,0.4,10.97,49941.0,49941.0,0
high_sensitivity_spans,strict_8,30,0.2,0.2,7,24763.0,24763.0,0
low_sensitivity_spans,loose_15,30,0.1667,0.1667,14.1,74261,74261,0
low_sensitivity_spans,strict_8,30,0.1,0.1,7.73,31538.0,31538.0,0
recent_spans,loose_15,30,0.4667,0.4667,9.57,47624.0,47624.0,0
recent_spans,strict_8,30,0.3,0.3,6.4,20816.0,20816.0,0
random_spans_seed1,loose_15,30,0.3333,0.3333,12.93,69413.0,69413.0,0
random_spans_seed1,strict_8,30,0.2,0.2,7.1,27369.0,27369.0,0
random_spans_seed2,loose_15,30,0.4,0.4,12.07,63879.0,63879.0,0
random_spans_seed2,strict_8,30,0.1333,0.1333,7.23,29739.0,29739.0,0
random_spans_seed3,loose_15,30,0.2667,0.2667,12.93,70716.0,70716.0,0
random_spans_seed3,strict_8,30,0.1333,0.1333,7.4,29455.0,29455.0,0
task_aware_summary,loose_15,30,0.7,0.7,7.47,38322,38322,0
task_aware_summary,strict_8,30,0.4667,0.4667,5.33,20775.0,20775.0,0
acon_style_summary,loose_15,30,0.6667,0.6667,8.43,42483.0,42483.0,0
acon_style_summary,strict_8,30,0.5333,0.5333,4.87,18034.0,18034.0,0
truncated_full_context,loose_15,30,0.8667,0.8667,8.87,73651.0,73651.0,0
truncated_full_context,strict_8,30,0.4333,0.4333,6.47,47711.0,47711.0,0
no_context,loose_15,30,0.1667,0.1667,14.33,74943.0,74943.0,0
no_context,strict_8,30,0.0,0.0,8,33194.0,33194.0,0
random_spans_mean,loose_15,30,0.3333,0.3333,12.64,68003.0,68003.0,0.0
random_spans_mean,strict_8,30,0.1555,0.1555,7.24,28854.0,28854.0,0.0
