task_id,rank_v4top1_under_jacobian,rank_jacobiantop1_under_v4,n_spans
0d8a4ee_2,1,1,26
37a8675_1,1,1,24
37a8675_2,1,1,25
37a8675_3,11,16,22
383cbac_1,21,20,22
383cbac_2,11,15,16
396c5a2_1,12,10,17
396c5a2_2,4,15,16
3ab5b8b_1,21,15,24
4ec8de5_1,3,2,17
4ec8de5_3,17,10,20
4fab96f_1,9,20,29
4fab96f_2,1,1,22
50e1ac9_1,16,11,19
530b157_3,12,21,25
57c3486_1,10,13,19
6171bbc_2,2,20,20
6171bbc_3,2,3,18
68ee2c9_2,14,11,16
6c2c621_1,1,1,22
6c2c621_2,20,20,21
6c2c621_3,3,5,17
b119b1f_1,19,12,20
b119b1f_2,4,23,25
d4e9306_1,3,4,17
d4e9306_2,1,1,16
df61dc5_2,18,5,18
fac291d_1,13,5,16
