score,scope,spearman_r,pearson_r,n
span_grad_sum,global,-0.133500514244601,-0.04702267056286585,591
span_grad_mean,global,-0.2656775249148425,-0.06702488012663117,591
span_gxa_sum,global,-0.1323558845185993,-0.046806886394401635,591
span_gxa_mean,global,-0.2638687434841964,-0.06661153314665952,591
span_gxa_sqrtlen,global,-0.1995313197458922,-0.05926797880529502,591
span_top10_mean,global,-0.20441894801933308,-0.056944684344204036,591
span_g_dot_x_abs_sum,global,-0.13875802070666932,-0.04709756796698085,591
span_grad_sum,median_per_task,-0.0872348323696449,-0.09487928622437494,29
span_grad_mean,median_per_task,-0.0643162178230939,0.016146337435490776,29
span_gxa_sum,median_per_task,-0.08077235208937199,-0.10219375337735058,29
span_gxa_mean,median_per_task,-0.08136854798094076,0.014718459495803866,29
span_gxa_sqrtlen,median_per_task,-0.028543996012764746,-0.04405045927113401,29
span_top10_mean,median_per_task,-0.05234089942178695,-0.08988299752235956,29
span_g_dot_x_abs_sum,median_per_task,-0.10041928905068676,-0.10518794418491209,29
v4_vs_token_count,global,0.11570285096862991,0.11089042011492765,591
span_gxa_sqrtlen_vs_token_count,global,0.361575957333463,0.05791984302626636,591
span_gxa_sqrtlen_vs_step_id,global,-0.025833065580070907,-0.06832305026047904,591
