compressor_model,prompt_variant,budget_chars,fact_type,coarse_group,n_pairs,mean_crs,median_crs,frac_positive
minimax,UTCO,1500,ACTION_OUTCOME,EXECUTABLE,11,0.14545454545454548,0.0,0.2727272727272727
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,0.00857142857142857,0.0,0.11428571428571428
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,0.11794871794871795,0.0,0.2564102564102564
minimax,UTCO,1500,ENVIRONMENT_STATE,TASK_STATE,1,-0.6,-0.6,0.0
minimax,UTCO,1500,EXACT_IDENTIFIER,EXECUTABLE,13,0.0,0.0,0.0
minimax,UTCO,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,0.0,0.0,0.0
minimax,UTCO,1500,NARRATIVE_GOAL,NARRATIVE,2,0.0,0.0,0.0
minimax,UTCO,1500,NARRATIVE_PROGRESS,NARRATIVE,5,0.08,0.0,0.2
minimax,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,0.11750000000000001,0.0,0.35
minimax,UTCO,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.0,0.0,0.0
minimax,UTCO,1500,RUNTIME_VARIABLE,EXECUTABLE,17,0.11764705882352941,0.0,0.11764705882352941
qwen,UTCO,1500,ACTION_OUTCOME,EXECUTABLE,11,0.09090909090909091,0.0,0.18181818181818182
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,-0.17142857142857143,0.0,0.02857142857142857
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,0.0,0.0,0.02564102564102564
qwen,UTCO,1500,ENVIRONMENT_STATE,TASK_STATE,1,0.0,0.0,0.0
qwen,UTCO,1500,EXACT_IDENTIFIER,EXECUTABLE,13,0.23076923076923078,0.0,0.23076923076923078
qwen,UTCO,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,0.0,0.0,0.0
qwen,UTCO,1500,NARRATIVE_GOAL,NARRATIVE,2,0.0,0.0,0.0
qwen,UTCO,1500,NARRATIVE_PROGRESS,NARRATIVE,5,-0.2,0.0,0.2
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,0.3,0.0,0.3
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,0.16666666666666666,0.0,0.16666666666666666
qwen,UTCO,1500,RUNTIME_VARIABLE,EXECUTABLE,17,0.0,0.0,0.0
