case_id,condition_id,compressor_model,prompt_variant,budget_chars,converged,convergence_round,final_output_chars,final_round,final_fact_count,needed_fact_recall_at_convergence,narrative_fact_recall_at_convergence,executable_fact_recall_at_convergence
0d8a4ee_2,0d8a4ee_2.fact0006.needed,minimax,UTCO,1500,True,4,1986,5,5,0.7142857142857143,,0.6666666666666666
0d8a4ee_2,0d8a4ee_2.fact0006.needed,qwen,UTCO,1500,True,5,2668,5,3,0.42857142857142855,,0.5
0d8a4ee_2,0d8a4ee_2.fact0006.unneeded,minimax,UTCO,1500,True,4,1534,5,3,,,0.3333333333333333
0d8a4ee_2,0d8a4ee_2.fact0006.unneeded,qwen,UTCO,1500,False,-1,2390,5,3,,,0.5
37a8675_1,37a8675_1.fact0015.needed,minimax,UTCO,1500,True,3,1588,5,4,0.5,,0.6666666666666666
37a8675_1,37a8675_1.fact0015.needed,qwen,UTCO,1500,False,-1,2579,5,4,0.5,,0.6666666666666666
37a8675_1,37a8675_1.fact0015.unneeded,minimax,UTCO,1500,True,5,1043,5,4,,,0.6666666666666666
37a8675_1,37a8675_1.fact0015.unneeded,qwen,UTCO,1500,False,-1,2514,5,2,,,0.3333333333333333
37a8675_2,37a8675_2.fact0015.needed,minimax,UTCO,1500,True,3,2133,5,3,0.375,,0.3333333333333333
37a8675_2,37a8675_2.fact0015.needed,qwen,UTCO,1500,True,4,4077,5,3,0.375,,0.3333333333333333
37a8675_2,37a8675_2.fact0015.unneeded,minimax,UTCO,1500,False,-1,2136,5,3,,,0.3333333333333333
37a8675_2,37a8675_2.fact0015.unneeded,qwen,UTCO,1500,True,3,2752,5,3,,,0.3333333333333333
383cbac_1,383cbac_1.fact0006.needed,minimax,UTCO,1500,True,4,1717,5,4,0.5714285714285714,,0.6666666666666666
383cbac_1,383cbac_1.fact0006.needed,qwen,UTCO,1500,True,5,2809,5,2,0.2857142857142857,,0.3333333333333333
383cbac_1,383cbac_1.fact0006.unneeded,minimax,UTCO,1500,True,3,1821,5,4,,,0.6666666666666666
383cbac_1,383cbac_1.fact0006.unneeded,qwen,UTCO,1500,False,-1,2903,5,1,,,0.16666666666666666
396c5a2_2,396c5a2_2.fact0000.needed,minimax,UTCO,1500,True,3,2070,5,8,1.0,,1.0
396c5a2_2,396c5a2_2.fact0000.needed,qwen,UTCO,1500,False,-1,2307,5,3,0.375,,0.3333333333333333
396c5a2_2,396c5a2_2.fact0000.unneeded,minimax,UTCO,1500,True,2,1271,5,4,,,0.5
396c5a2_2,396c5a2_2.fact0000.unneeded,qwen,UTCO,1500,False,-1,1770,5,6,,,0.8333333333333334
3ab5b8b_1,3ab5b8b_1.fact0009.needed,minimax,UTCO,1500,True,3,2117,5,4,0.6666666666666666,,0.6666666666666666
3ab5b8b_1,3ab5b8b_1.fact0009.needed,qwen,UTCO,1500,True,3,3003,5,1,0.16666666666666666,,0.16666666666666666
3ab5b8b_1,3ab5b8b_1.fact0009.unneeded,minimax,UTCO,1500,True,5,1416,5,2,,,0.3333333333333333
3ab5b8b_1,3ab5b8b_1.fact0009.unneeded,qwen,UTCO,1500,False,-1,2438,5,0,,,0.0
4ec8de5_1,4ec8de5_1.fact0011.needed,minimax,UTCO,1500,True,3,1867,5,4,0.5714285714285714,0.0,0.6666666666666666
4ec8de5_1,4ec8de5_1.fact0011.needed,qwen,UTCO,1500,True,5,2521,5,1,0.14285714285714285,0.0,0.16666666666666666
4ec8de5_1,4ec8de5_1.fact0011.unneeded,minimax,UTCO,1500,False,-1,1486,5,1,,0.0,0.16666666666666666
4ec8de5_1,4ec8de5_1.fact0011.unneeded,qwen,UTCO,1500,True,5,1973,5,1,,0.0,0.16666666666666666
4fab96f_1,4fab96f_1.fact0003.needed,minimax,UTCO,1500,True,5,2165,5,2,0.25,,0.3333333333333333
4fab96f_1,4fab96f_1.fact0003.needed,qwen,UTCO,1500,True,4,2914,5,1,0.125,,0.16666666666666666
4fab96f_1,4fab96f_1.fact0003.unneeded,minimax,UTCO,1500,True,2,2072,5,4,,,0.5
4fab96f_1,4fab96f_1.fact0003.unneeded,qwen,UTCO,1500,True,3,2468,5,2,,,0.3333333333333333
4fab96f_2,4fab96f_2.fact0014.needed,minimax,UTCO,1500,True,3,2147,5,4,0.4444444444444444,,0.5
4fab96f_2,4fab96f_2.fact0014.needed,qwen,UTCO,1500,True,3,3320,5,2,0.2222222222222222,,0.16666666666666666
4fab96f_2,4fab96f_2.fact0014.unneeded,minimax,UTCO,1500,True,5,2152,5,3,,,0.3333333333333333
4fab96f_2,4fab96f_2.fact0014.unneeded,qwen,UTCO,1500,True,3,2652,5,1,,,0.16666666666666666
50e1ac9_1,50e1ac9_1.fact0009.needed,minimax,UTCO,1500,True,2,2381,5,6,0.75,0.5,0.8333333333333334
50e1ac9_1,50e1ac9_1.fact0009.needed,qwen,UTCO,1500,True,4,3013,5,3,0.375,0.5,0.3333333333333333
50e1ac9_1,50e1ac9_1.fact0009.unneeded,minimax,UTCO,1500,True,4,2200,5,5,,0.5,0.6666666666666666
50e1ac9_1,50e1ac9_1.fact0009.unneeded,qwen,UTCO,1500,True,5,2890,5,3,,0.5,0.3333333333333333
530b157_3,530b157_3.fact0003.needed,minimax,UTCO,1500,True,3,1412,5,4,0.5,,0.6666666666666666
530b157_3,530b157_3.fact0003.needed,qwen,UTCO,1500,True,3,2516,5,5,0.625,,0.5
530b157_3,530b157_3.fact0003.unneeded,minimax,UTCO,1500,True,2,1493,5,6,,,1.0
530b157_3,530b157_3.fact0003.unneeded,qwen,UTCO,1500,True,3,2066,5,4,,,0.3333333333333333
57c3486_1,57c3486_1.fact0014.needed,minimax,UTCO,1500,True,5,2051,5,8,0.8888888888888888,1.0,0.8333333333333334
57c3486_1,57c3486_1.fact0014.needed,qwen,UTCO,1500,True,3,2386,5,5,0.5555555555555556,0.0,0.5
57c3486_1,57c3486_1.fact0014.unneeded,minimax,UTCO,1500,True,3,1743,5,7,,1.0,0.6666666666666666
57c3486_1,57c3486_1.fact0014.unneeded,qwen,UTCO,1500,True,4,2292,5,4,,0.0,0.3333333333333333
57c3486_3,57c3486_3.fact0003.needed,minimax,UTCO,1500,True,2,2557,5,4,0.5,1.0,0.5
57c3486_3,57c3486_3.fact0003.needed,qwen,UTCO,1500,True,4,3602,5,2,0.25,0.0,0.3333333333333333
57c3486_3,57c3486_3.fact0003.unneeded,minimax,UTCO,1500,True,5,2260,5,4,,1.0,0.5
57c3486_3,57c3486_3.fact0003.unneeded,qwen,UTCO,1500,True,5,3402,5,1,,0.0,0.16666666666666666
6171bbc_2,6171bbc_2.fact0001.needed,minimax,UTCO,1500,True,2,1508,5,4,0.5,,0.6666666666666666
6171bbc_2,6171bbc_2.fact0001.needed,qwen,UTCO,1500,False,-1,3128,5,2,0.25,,0.3333333333333333
6171bbc_2,6171bbc_2.fact0001.unneeded,minimax,UTCO,1500,True,3,2081,5,1,,,0.16666666666666666
6171bbc_2,6171bbc_2.fact0001.unneeded,qwen,UTCO,1500,False,-1,2896,5,2,,,0.3333333333333333
6171bbc_3,6171bbc_3.fact0012.needed,minimax,UTCO,1500,True,5,2340,5,5,0.7142857142857143,,0.6666666666666666
6171bbc_3,6171bbc_3.fact0012.needed,qwen,UTCO,1500,True,5,3279,5,3,0.42857142857142855,,0.3333333333333333
6171bbc_3,6171bbc_3.fact0012.unneeded,minimax,UTCO,1500,False,-1,1955,5,3,,,0.5
6171bbc_3,6171bbc_3.fact0012.unneeded,qwen,UTCO,1500,True,4,2659,5,2,,,0.3333333333333333
6c2c621_1,6c2c621_1.fact0010.needed,minimax,UTCO,1500,True,5,2053,5,5,0.5555555555555556,1.0,0.6666666666666666
6c2c621_1,6c2c621_1.fact0010.needed,qwen,UTCO,1500,True,5,2427,5,3,0.3333333333333333,0.0,0.5
6c2c621_1,6c2c621_1.fact0010.unneeded,minimax,UTCO,1500,True,2,1222,5,0,,0.0,0.0
6c2c621_1,6c2c621_1.fact0010.unneeded,qwen,UTCO,1500,False,-1,2555,5,2,,1.0,0.16666666666666666
6c2c621_2,6c2c621_2.fact0003.needed,minimax,UTCO,1500,True,5,1995,5,2,0.3333333333333333,,0.3333333333333333
6c2c621_2,6c2c621_2.fact0003.needed,qwen,UTCO,1500,True,4,2734,5,2,0.3333333333333333,,0.3333333333333333
6c2c621_2,6c2c621_2.fact0003.unneeded,minimax,UTCO,1500,True,5,1360,5,1,,,0.16666666666666666
6c2c621_2,6c2c621_2.fact0003.unneeded,qwen,UTCO,1500,True,4,2302,5,1,,,0.16666666666666666
6c2c621_3,6c2c621_3.fact0004.needed,minimax,UTCO,1500,True,4,1410,5,4,0.5714285714285714,1.0,0.5
6c2c621_3,6c2c621_3.fact0004.needed,qwen,UTCO,1500,True,4,2700,5,2,0.2857142857142857,1.0,0.16666666666666666
6c2c621_3,6c2c621_3.fact0004.unneeded,minimax,UTCO,1500,True,4,1423,5,4,,1.0,0.5
6c2c621_3,6c2c621_3.fact0004.unneeded,qwen,UTCO,1500,True,5,2499,5,1,,1.0,0.0
b119b1f_1,b119b1f_1.fact0001.needed,minimax,UTCO,1500,True,2,1780,5,8,0.8888888888888888,1.0,0.8333333333333334
b119b1f_1,b119b1f_1.fact0001.needed,qwen,UTCO,1500,False,-1,1950,5,3,0.3333333333333333,1.0,0.16666666666666666
b119b1f_1,b119b1f_1.fact0001.unneeded,minimax,UTCO,1500,True,3,1799,5,9,,1.0,1.0
b119b1f_1,b119b1f_1.fact0001.unneeded,qwen,UTCO,1500,True,4,2439,5,6,,1.0,0.5
d4e9306_1,d4e9306_1.fact0004.needed,minimax,UTCO,1500,True,4,1710,5,7,0.7777777777777778,1.0,0.8333333333333334
d4e9306_1,d4e9306_1.fact0004.needed,qwen,UTCO,1500,False,-1,2178,5,2,0.2222222222222222,0.0,0.3333333333333333
d4e9306_1,d4e9306_1.fact0004.unneeded,minimax,UTCO,1500,True,5,2001,5,7,,1.0,0.6666666666666666
d4e9306_1,d4e9306_1.fact0004.unneeded,qwen,UTCO,1500,True,5,2259,5,4,,0.0,0.5
d4e9306_2,d4e9306_2.fact0005.needed,minimax,UTCO,1500,True,5,1951,5,7,0.7777777777777778,,0.8333333333333334
d4e9306_2,d4e9306_2.fact0005.needed,qwen,UTCO,1500,False,-1,2815,5,4,0.4444444444444444,,0.3333333333333333
d4e9306_2,d4e9306_2.fact0005.unneeded,minimax,UTCO,1500,True,5,1511,5,4,,,0.3333333333333333
d4e9306_2,d4e9306_2.fact0005.unneeded,qwen,UTCO,1500,True,5,1949,5,3,,,0.16666666666666666
df61dc5_2,df61dc5_2.fact0002.needed,minimax,UTCO,1500,True,3,1580,5,6,0.75,,0.8333333333333334
df61dc5_2,df61dc5_2.fact0002.needed,qwen,UTCO,1500,False,-1,2541,5,3,0.375,,0.3333333333333333
df61dc5_2,df61dc5_2.fact0002.unneeded,minimax,UTCO,1500,True,3,1762,5,3,,,0.3333333333333333
df61dc5_2,df61dc5_2.fact0002.unneeded,qwen,UTCO,1500,True,4,2781,5,2,,,0.16666666666666666
fac291d_1,fac291d_1.fact0004.needed,minimax,UTCO,1500,True,3,2049,5,8,0.8888888888888888,1.0,1.0
fac291d_1,fac291d_1.fact0004.needed,qwen,UTCO,1500,False,-1,2276,5,2,0.2222222222222222,0.0,0.16666666666666666
fac291d_1,fac291d_1.fact0004.unneeded,minimax,UTCO,1500,True,3,1761,5,7,,1.0,1.0
fac291d_1,fac291d_1.fact0004.unneeded,qwen,UTCO,1500,False,-1,3013,5,2,,0.0,0.3333333333333333
