case_id,extractor,n_facts_raw,n_facts_normalised,n_facts_grounded,n_facts_kept,missing_NARRATIVE,missing_TASK_STATE,missing_EXECUTABLE,missing_CONTROL,elapsed_s,error
0d8a4ee_2,minimax,13,13,11,7,3,3,0,1,39.29480791091919,
37a8675_1,minimax,16,16,14,8,3,3,0,0,54.586148500442505,
37a8675_2,minimax,17,17,14,8,3,3,0,0,55.5795521736145,
37a8675_3,minimax,0,0,0,0,3,3,6,2,82.91365480422974,
383cbac_1,minimax,15,15,9,7,3,3,0,1,53.78983783721924,
383cbac_2,minimax,15,15,15,9,3,2,0,0,56.21889662742615,
396c5a2_1,minimax,15,15,15,9,3,2,0,0,45.59663987159729,
396c5a2_2,minimax,15,15,14,8,3,2,0,1,38.29082798957825,
3ab5b8b_1,minimax,14,13,11,6,3,3,0,2,51.60073757171631,
4ec8de5_1,minimax,15,15,15,7,2,3,0,2,46.77259802818298,
4ec8de5_3,minimax,16,15,15,8,2,3,0,1,59.19559144973755,
4fab96f_1,minimax,18,17,17,8,3,3,0,0,54.05992865562439,
4fab96f_2,minimax,20,20,19,9,3,2,0,0,73.51785397529602,
50e1ac9_1,minimax,19,19,19,8,1,3,0,2,69.6703474521637,
530b157_3,minimax,15,15,15,8,3,3,0,0,39.21383213996887,
57c3486_1,minimax,17,17,16,9,2,3,0,0,63.286805629730225,
57c3486_2,minimax,19,19,14,6,3,3,0,2,53.79897689819336,
57c3486_3,minimax,15,15,15,8,2,3,0,1,48.8140332698822,
6171bbc_2,minimax,18,18,18,8,3,3,0,0,63.65731620788574,
6171bbc_3,minimax,17,17,16,7,3,3,0,1,49.50321316719055,
68ee2c9_2,minimax,15,14,14,9,2,2,0,1,48.55732083320618,
6c2c621_1,minimax,16,15,15,9,2,3,0,0,62.75886535644531,
6c2c621_2,minimax,17,17,15,6,3,3,0,2,73.17576932907104,
6c2c621_3,minimax,16,16,15,7,2,3,0,2,50.84098291397095,
b119b1f_1,minimax,13,12,12,9,2,2,0,1,41.171695709228516,
b119b1f_2,minimax,16,16,13,10,3,0,0,1,52.04610252380371,
d4e9306_1,minimax,15,14,14,9,2,3,0,0,52.5743350982666,
d4e9306_2,minimax,15,14,14,9,3,1,0,1,48.22201061248779,
df61dc5_2,minimax,15,15,15,8,3,3,0,0,51.9691596031189,
fac291d_1,minimax,18,18,18,9,2,3,0,0,55.171515703201294,
