model,prompt_family,fact_type,coarse_group,n_needed,n_unneeded,recall_needed_fixed,recall_unneeded_fixed,delta_need_infty
minimax,general_task_aware,ACTION_OUTCOME,EXECUTABLE,17,9,0.5882352941176471,0.1111111111111111,0.477124183006536
minimax,general_task_aware,API_SCHEMA_OR_PARAMETER,EXECUTABLE,55,27,0.6,0.4444444444444444,0.15555555555555556
minimax,general_task_aware,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,70,30,0.5714285714285714,0.26666666666666666,0.30476190476190473
minimax,general_task_aware,COMPLETED_SUBTASK,TASK_STATE,9,3,0.8888888888888888,0.6666666666666666,0.2222222222222222
minimax,general_task_aware,ENVIRONMENT_STATE,TASK_STATE,3,1,0.6666666666666666,0.0,0.6666666666666666
minimax,general_task_aware,EXACT_IDENTIFIER,EXECUTABLE,40,16,0.775,0.6875,0.08750000000000002
minimax,general_task_aware,NARRATIVE_GOAL,NARRATIVE,2,2,1.0,0.5,0.5
minimax,general_task_aware,NARRATIVE_PROGRESS,NARRATIVE,8,4,0.375,0.25,0.125
minimax,general_task_aware,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,56,24,0.5178571428571429,0.08333333333333333,0.4345238095238096
minimax,general_task_aware,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,18,6,0.9444444444444444,0.6666666666666666,0.2777777777777778
minimax,general_task_aware,RUNTIME_VARIABLE,EXECUTABLE,58,26,0.7413793103448276,0.46153846153846156,0.27984084880636606
qwen,general_task_aware,ACTION_OUTCOME,EXECUTABLE,17,9,0.6470588235294118,0.6666666666666666,-0.019607843137254832
qwen,general_task_aware,API_SCHEMA_OR_PARAMETER,EXECUTABLE,55,27,0.6363636363636364,0.18518518518518517,0.4511784511784512
qwen,general_task_aware,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,70,30,0.6428571428571429,0.26666666666666666,0.37619047619047624
qwen,general_task_aware,COMPLETED_SUBTASK,TASK_STATE,9,3,0.5555555555555556,0.3333333333333333,0.22222222222222227
qwen,general_task_aware,ENVIRONMENT_STATE,TASK_STATE,3,1,1.0,0.0,1.0
qwen,general_task_aware,EXACT_IDENTIFIER,EXECUTABLE,40,16,0.875,0.375,0.5
qwen,general_task_aware,NARRATIVE_GOAL,NARRATIVE,2,2,0.5,0.5,0.0
qwen,general_task_aware,NARRATIVE_PROGRESS,NARRATIVE,8,4,0.25,0.0,0.25
qwen,general_task_aware,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,56,24,0.5178571428571429,0.041666666666666664,0.4761904761904762
qwen,general_task_aware,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,18,6,0.7222222222222222,0.5,0.2222222222222222
qwen,general_task_aware,RUNTIME_VARIABLE,EXECUTABLE,58,26,0.6724137931034483,0.4230769230769231,0.24933687002652521
